id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
183840,"Oh My Goods!",2015,833,6.74376,6.9922,13750,0,,,,,,580,,
123540,Tokaido,2012,834,6.74141,6.91134,28556,0,,,,274,,,,
444481,"Star Wars: Battle of Hoth",2025,835,6.74091,7.96737,2659,0,,,,,,,,55
71721,"Space Hulk: Death Angel – The Card Game",2010,836,6.74082,7.00727,13710,0,,,,,,,236,
58281,"Summoner Wars",2009,837,6.73926,7.21591,6782,0,,35,,,,,,
331787,"Tiny Epic Dungeons",2021,838,6.73917,7.44681,5589,0,,,,,,572,213,
167400,"Ashes Reborn: Rise of the Phoenixborn",2015,839,6.73906,7.30688,6392,0,,36,,,,,,
30380,Cuba,2007,840,6.73875,7.11753,8494,0,,,,,,531,,
119432,Snowdonia,2012,841,6.73834,7.30008,5147,0,,,,,,490,,
50750,Belfort,2011,842,6.73511,7.19606,6517,0,,,,,,525,,
156336,"Onirim (Second Edition)",2014,843,6.73441,7.03481,11143,0,,,,243,,591,,
7717,"Carcassonne: The Castle",2003,844,6.73432,7.10425,8686,0,,,,221,,552,,
241590,Smart10,2017,845,6.73257,7.44259,4247,0,,,,196,30,,,
267609,"Guards of Atlantis II",2022,846,6.73198,8.34693,2044,0,,,,,,427,,
363307,Evergreen,2022,847,6.7319,7.44653,4247,0,,,,195,,,,
440540,"Take Time",2025,848,6.73108,7.75854,3068,0,,,,182,,,,
168584,"Love Letter: Batman",2015,849,6.73086,7.27462,5850,0,,,,216,,,,
154825,Arkwright,2014,850,6.72993,7.78909,2742,0,,,,,,447,,
257501,"KeyForge: Call of the Archons",2018,851,6.72984,7.06682,11746,0,,47,,,,,,
20100,"Wits & Wagers",2005,852,6.72977,6.92714,16064,0,,,,,62,,,
183562,"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set",2015,853,6.72958,7.70204,3216,0,,13,,,,,,
213893,Yamataï,2017,854,6.7289,7.16702,7005,0,,,,,,538,,
244608,Menara,2018,855,6.72848,7.41172,4291,0,,,,198,,,,
1465,Wizard,1984,856,6.72825,7.0006,13473,0,,,,254,,,,
280480,"Crystal Palace",2019,857,6.72818,7.50096,3806,0,,,,,,481,,
299169,Spicy,2020,858,6.72605,7.15872,7781,0,,,,,53,,,
358320,"Sleeping Gods: Distant Skies",2023,859,6.726,8.3304,1958,0,,,,,,,113,
70512,Luna,2010,860,6.72597,7.27383,5294,0,,,,,,507,,
238799,"Messina 1347",2021,861,6.72576,7.493,3888,0,,,,,,485,,
203416,"EXIT: The Game – The Pharaoh's Tomb",2016,862,6.72515,7.13198,6990,0,,,,,,,186,
45,Perudo,1800,863,6.72419,6.9273,16781,0,,,,266,68,,,
126792,Myrmes,2012,864,6.72389,7.25135,5740,0,,,,,,519,,
146278,"Tash-Kalar: Arena of Legends",2013,865,6.72378,7.14414,7431,0,50,,,,,547,,
270970,"Century: A New World",2019,866,6.72293,7.27332,5563,0,,,,211,,530,,
394106,"Everdell Farshore",2023,867,6.72277,7.83182,2858,0,,,,177,,492,,
483,Diplomacy,1959,868,6.72203,7.03493,13887,0,,,,,,661,,270
143741,"BANG! The Dice Game",2013,869,6.72061,6.87671,26291,0,,,,,78,,,
281442,"Trismegistus: The Ultimate Formula",2019,870,6.71998,7.54852,3859,0,,,,,,488,,
165401,"Wir sind das Volk!",2014,871,6.71997,7.76057,2801,0,,,,,,461,,40
299684,"Khôra: Rise of an Empire",2021,872,6.7186,7.37157,4722,0,,,,,,516,,
256788,"Detective Club",2018,873,6.71838,7.35778,4841,0,,,,,37,,,
