games_id,name,yearpublished,rank,average,usersrated,abstracts_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,images,thumbnails,prices
146652,Legendary Encounters: An Alien Deck Building Game,2014,194,7.75431,13696,0.0,0.0,0.0,0.0,43.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/63/img_9963_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/63/img_9963_THUMBNAIL.png,51.38
82222,Xia: Legends of a Drift System,2014,195,7.85741,11057,0.0,0.0,0.0,139.0,39.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/6/img_14006_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/6/img_14006_THUMBNAIL.png,199.99
296151,Viscounts of the West Kingdom,2020,196,7.79929,11415,0.0,0.0,0.0,135.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/13/img_33613_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/13/img_33613_THUMBNAIL.png,48.98
271896,Star Wars: Outer Rim,2019,197,7.74838,14994,0.0,0.0,0.0,0.0,47.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/76/img_28376_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/76/img_28376_THUMBNAIL.png,67.99
127023,Kemet,2012,198,7.6265,20016,0.0,0.0,0.0,148.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/8/img_2108_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/8/img_2108_THUMBNAIL.png,66.69
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,199,7.60542,22716,0.0,0.0,0.0,0.0,54.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/39/img_1839_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/39/img_1839_THUMBNAIL.png,47.18
54043,Jaipur,2009,200,7.48135,57722,0.0,39.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/47/img_2747_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/47/img_2747_THUMBNAIL.png,26.59
103885,Star Wars: X-Wing Miniatures Game,2012,201,7.62594,25496,0.0,0.0,0.0,0.0,0.0,62.0,https://d2qg6c07ydxh2f.cloudfront.net/items/35/img_35_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/35/img_35_THUMBNAIL.png,31.99
265188,Glen More II: Chronicles,2019,202,7.85986,9435,0.0,0.0,0.0,130.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/62/img_29062_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/62/img_29062_THUMBNAIL.png,79.97999999999999
364011,Great Western Trail: Argentina,2022,203,8.2194,5357,0.0,0.0,0.0,106.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_42512_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_42512_THUMBNAIL.png,64.99000000000001
244522,That's Pretty Clever!,2018,204,7.55213,27737,0.0,33.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/87/img_25387_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/87/img_25387_THUMBNAIL.png,29.29
283948,Marco Polo II: In the Service of the Khan,2019,205,7.92344,8288,0.0,0.0,0.0,124.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/77/img_31377_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/77/img_31377_THUMBNAIL.png,202.2
233398,Endeavor: Age of Sail,2018,206,7.84449,10312,0.0,0.0,0.0,134.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_25431_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_25431_THUMBNAIL.png,49.99
316377,7 Wonders (Second Edition),2020,207,7.82789,11660,0.0,27.0,0.0,160.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_38984_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_38984_THUMBNAIL.png,61.98
329082,Radlands,2021,208,7.74636,14010,0.0,0.0,0.0,153.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/77/img_38977_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/77/img_38977_THUMBNAIL.png,32.98
350184,Earth,2023,209,7.62117,20859,0.0,0.0,0.0,158.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/97/img_41897_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/97/img_41897_THUMBNAIL.png,45.0
233867,Welcome To...,2018,210,7.50856,34562,0.0,38.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_24089_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_24089_THUMBNAIL.png,37.98
283355,Dune,2019,211,7.91751,10638,0.0,0.0,0.0,149.0,50.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/68/img_10468_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/68/img_10468_THUMBNAIL.png,99.92
339789,Welcome to the Moon,2021,212,7.85741,9292,0.0,26.0,0.0,0.0,46.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_40358_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_40358_THUMBNAIL.png,40.99
